³¯Â¥,S&P 500,FTSE
2002.6.26,-0.002667215,-0.021830162
2002.6.27,0.017412995,0.002116496
2002.6.28,-0.000807918,0.025183455
2002.7.1,-0.021651173,0.006294041
2002.7.2,-0.021391748,-0.03011297
2002.7.3,0.00620369,-0.034502382
2002.7.5,0.023737558,0.031785041
2002.7.8,-0.01220768,-0.003102998
2002.7.9,-0.025081634,-0.012773298
2002.7.10,-0.034488017,-0.027403254
2002.7.11,0.007467971,-0.043960327
2002.7.12,-0.006490719,-0.001395773
2002.7.15,-0.0038058,-0.055887805
2002.7.16,-0.018583195,0.006836013
2002.7.17,0.005534048,0.041089494
2002.7.18,-0.027300868,0.025142997
2002.7.19,-0.019043744,-0.047414665
2002.7.22,-0.033462377,-0.050750213
2002.7.23,-0.027449795,-0.009673126
2002.7.24,0.055708754,-0.021192395
2002.7.25,-0.005588267,0.048776296
2002.7.26,0.016671979,0.012702958
2002.7.29,0.052757981,0.045291402
2002.7.30,0.00421801,-0.005200642
2002.7.31,0.009700252,0.015497931
2002.8.1,-0.029952693,-0.048666532
2002.8.2,-0.023444381,0.007635505
2002.8.5,-0.034851655,-0.019599483
2002.8.6,0.029514597,0.033125553
2002.8.7,0.019811751,-0.008899322
2002.8.8,0.032208361,0.035061
2002.8.9,0.003417676,0.019129617
2002.8.12,-0.005296856,-0.0235966
2002.8.13,-0.021924816,0.011797671
2002.8.14,0.039255511,-0.023832084
2002.8.15,0.011460824,0.036810218
2002.8.16,-0.001506186,0.000577534
2002.8.19,0.023305125,0.022109433
2002.8.20,-0.01408847,-0.013165714
2002.8.21,0.012720121,-0.000938892
2002.8.22,0.013911631,0.015887601
2002.8.23,-0.022904973,-0.010176302
2002.8.27,-0.0140219,0.01355301
2002.8.28,-0.01824415,-0.040286521
2002.8.29,-0.00010895,-0.015253794
2002.8.30,-0.001853973,0.004267128
2002.9.3,-0.042478935,-0.037107613
2002.9.4,0.017387815,-0.000422072
2002.9.5,-0.016135752,-0.003956262
2002.9.6,0.016695255,0.023700944
2002.9.9,0.010128641,-0.010967599
2002.9.10,0.007282389,0.02746018
2002.9.11,-0.001208725,0.008394793
2002.9.12,-0.025162762,-0.030331656
2002.9.13,0.003264482,-0.019004884
2002.9.16,0.001459936,0.009016119
2002.9.17,-0.019948525,-0.004758727
2002.9.18,-0.004589796,-0.040484586
2002.9.19,-0.030595567,-0.013517767
2002.9.20,0.002487122,0.012145687
2002.9.23,-0.013936263,-0.031767919
2002.9.24,-0.017423308,-0.018433826
2002.9.25,0.024594368,0.00681392
2002.9.26,0.018056784,0.040923715
2002.9.27,-0.032813215,0.014592025
2002.9.30,-0.01473211,-0.048613583
2002.10.1,0.039206561,0.0201092
2002.10.2,-0.019023126,0.027992376
2002.10.3,-0.01080829,-0.006396528
2002.10.4,-0.022722637,-0.017286403
2002.10.7,-0.019295636,-0.008663991
2002.10.8,0.016669157,-0.013419804
2002.10.9,-0.027552051,0.003184844
2002.10.10,0.034291966,0.009282352
2002.10.11,0.038316058,0.045566499
2002.10.14,0.007276229,-0.0055295
2002.10.15,0.046330919,0.049303576
2002.10.16,-0.024465701,-0.017733733
2002.10.17,0.022080014,0.027467577
2002.10.18,0.005897046,-0.009685422
2002.10.21,0.017151925,0.000798616
2002.10.22,-0.010615218,-0.003610943
2002.10.23,0.006605857,-0.027568262
2002.10.24,-0.015293225,0.023871131
2002.10.25,0.016965746,-0.012900557
2002.10.28,-0.008278378,0.009678763
2002.10.29,-0.009140728,-0.03852764
2002.10.30,0.009702242,0.016829561
2002.10.31,-0.005516479,0.009201298
2002.11.1,0.017014066,-0.010626352
2002.11.4,0.008179553,0.035513961
2002.11.5,0.007676318,0.001110092
2002.11.6,0.00913447,-0.010279128
2002.11.7,-0.023216111,-0.005473441
2002.11.8,-0.008791021,-0.011508401
2002.11.11,-0.020894091,-0.004720388
2002.11.12,0.007730825,0.017134952
2002.11.13,-0.000566412,-0.013704247
2002.11.14,0.024402375,0.005864539
2002.11.15,0.006063631,0.009454071
2002.11.18,-0.010385686,0.005945726
2002.11.19,-0.004117751,-0.004748867
2002.11.20,0.019218617,-0.000390654
2002.11.21,0.021322308,0.022958437
2002.11.22,-0.003540206,-0.003538473
2002.11.25,0.002575938,-0.01277526
2002.11.26,-0.0212336,-0.012498332
2002.11.27,0.027644564,0.017821097
2002.11.29,-0.002773039,-0.003830138
2002.12.2,-0.001924311,-0.003628198
2002.12.3,-0.014768769,-0.019175041
2002.12.4,-0.003481292,-0.006597759
2002.12.5,-0.012170536,-0.00400941
2002.12.6,0.006268234,-0.004698054
2002.12.9,-0.022393132,-0.020032378
2002.12.10,0.013916172,-0.002264949
2002.12.11,0.000552639,0.012633239
2002.12.12,-0.003763981,-0.010012473
2002.12.13,-0.013511456,-0.014641775
2002.12.16,0.023224556,0.026940997
2002.12.17,-0.00816151,-0.019081502
2002.12.18,-0.013265899,-0.018983253
2002.12.19,-0.006538181,0.001615299
2002.12.20,0.013033892,0.012546567
2002.12.23,0.001896158,0.012010161
2002.12.24,-0.00547518,0.001319965
2002.12.27,-0.016203402,-0.029005443
2002.12.30,0.004558932,0.018422254
2002.12.31,0.000454752,0.010151854
2003.1.2,0.032650485,0.017384304
2003.1.3,-0.000440141,-0.001147934
2003.1.6,0.022203785,-0.000874312
2003.1.7,-0.006587853,-0.011057056
2003.1.8,-0.014186183,-0.008271849
2003.1.9,0.019265902,0.002341325
2003.1.10,0,0.010141587
2003.1.13,-0.001402449,-0.006513201
2003.1.14,0.005812718,-0.000684073
2003.1.15,-0.014595643,-0.014757589
2003.1.16,-0.003928421,-0.001544481
2003.1.17,-0.014094045,-0.015891485
2003.1.21,-0.015871575,-0.011150702
2003.1.22,-0.01041912,-0.015833743
2003.1.23,0.010081073,-0.01528755
2003.1.24,-0.029624171,-0.005120481
2003.1.27,-0.016268133,-0.034698943
2003.1.28,0.012895841,0.002639584
2003.1.29,0.006848944,-0.001778084
2003.1.30,-0.023172482,0.026875954
2003.1.31,0.013056705,-0.003162567
2003.2.3,0.005361318,0.033626804
2003.2.4,-0.014164709,-0.027283786
2003.2.5,-0.005438008,0.024379372
2003.2.6,-0.006541023,-0.022459264
2003.2.7,-0.010073235,0.000611434
2003.2.10,0.007564423,-0.005600226
2003.2.11,-0.008167233,0.024862282
2003.2.12,-0.012743664,-0.014577558
2003.2.13,-0.001589145,-0.001466743
2003.2.14,0.021183386,0.000304595
2003.2.18,0.019335161,0.009997523
2003.2.19,-0.007192155,-0.019275618
2003.2.20,-0.009511426,0.007868804
2003.2.21,0.013172919,0.010763089
2003.2.24,-0.018563122,-0.006811264
2003.2.25,0.0071805,-0.021930883
2003.2.26,-0.013324727,-0.007817304
2003.2.27,0.011773322,-0.006533416
2003.2.28,0.00452813,0.023722654
2003.3.3,-0.007518384,0.007928873
2003.3.4,-0.01545178,-0.016252068
2003.3.5,0.009564817,-0.017193836
2003.3.6,-0.009443169,-0.002275633
2003.3.7,0.008237478,-0.018107491
2003.3.10,-0.026156466,-0.01605208
2003.3.11,-0.00845671,0.00484853
2003.3.12,0.004361649,-0.049181239
2003.3.13,0.033864247,0.059037795
2003.3.14,0.00168148,0.032420631
2003.3.17,0.034789193,0.032908036
2003.3.18,0.004279195,0.006693824
2003.3.19,0.008618266,0.004818517
2003.3.20,0.001943191,7.97E-05
2003.3.21,0.022579419,0.02501835
2003.3.24,-0.03591295,-0.030984542
2003.3.25,0.012076747,0.004983156
2003.3.26,-0.005387759,0.008232896
2003.3.27,-0.001725626,-0.017016709
2003.3.28,-0.005773688,-0.005539435
2003.3.31,-0.017877441,-0.026006
2003.4.1,0.012070223,0.019594768
2003.4.2,0.025757432,0.018445846
2003.4.3,-0.005007408,0.00470464
2003.4.4,0.002734421,0.011416642
2003.4.7,0.001137139,0.031330786
2003.4.8,-0.001820044,-0.017169783
2003.4.9,-0.014103312,-0.001914569
2003.4.10,0.006445695,-0.015160701
2003.4.11,-0.003793326,0.001261266
2003.4.14,0.019276331,0.010786915
2003.4.15,0.006306327,0.017357702
2003.4.16,-0.012311671,-0.015929928
2003.4.17,0.015449983,0.008858415
2003.4.22,0.021515746,0.007301266
2003.4.23,0.008304244,0.012379347
2003.4.24,-0.008304244,-0.017163984
2003.4.25,-0.013921339,-0.007413925
2003.4.28,0.017644922,0.017950677
2003.4.29,0.00327404,-0.00317739
2003.4.30,-0.000981087,-0.000458377
2003.5.1,-0.000654593,-0.011760169
2003.5.2,0.014948285,0.018512664
2003.5.6,0.008490566,0.013519492
2003.5.7,-0.005150226,-0.003375299
2003.5.8,-0.010054682,-0.016158295
2003.5.9,0.01413413,0.010255461
2003.5.12,0.012456908,0.00452444
2003.5.13,-0.002967047,0.003129971
2003.5.14,-0.003188778,-0.006244613
2003.5.15,0.007847336,0.00904077
2003.5.16,0.000741565,0.009404419
2003.5.19,-0.025201055,-0.026959319
2003.5.20,-0.001195327,0.007658418
