³¯Â¥,S&P 500,DAX
2003.5.21,0.00401498,-0.004967745
2003.5.22,0.009163003,0.013613063
2003.5.23,0.001394027,-0.015561138
2003.5.27,0.019420147,0.016116085
2003.5.28,0.001785058,0.011717478
2003.5.29,-0.003783902,-0.002566619
2003.5.30,0.014635427,0.025449517
2003.6.2,0.003522225,0.024319627
2003.6.3,0.004745702,-0.011836557
2003.6.4,0.014914977,0.016277766
2003.6.5,0.003946774,-0.015307795
2003.6.6,-0.0023257,0.023444854
2003.6.9,-0.012120126,-0.009592716
2003.6.10,0.009078453,0.016609923
2003.6.11,0.012813574,0.010320048
2003.6.12,0.001002004,0.012143747
2003.6.13,-0.009964352,-0.016311421
2003.6.16,0.022108638,0.033547755
2003.6.17,0.000988924,0.003145078
2003.6.18,-0.001582748,0.007323637
2003.6.19,-0.015363431,-0.017441122
2003.6.20,0.001004823,0.00054044
2003.6.23,-0.014262114,-0.015746003
2003.6.24,0.001933744,0.010046129
2003.6.25,-0.008372522,-0.005738749
2003.6.26,0.010708378,0.014368974
2003.6.27,-0.009786011,-0.008402697
2003.6.30,-0.001742965,-0.002552181
2003.7.1,0.007972242,-0.02220791
2003.7.2,0.011639218,0.02909517
2003.7.3,-0.00818393,0.001503326
2003.7.7,0.018793579,0.026736935
2003.7.8,0.003379389,0.002832566
2003.7.9,-0.005572154,-0.006211051
2003.7.10,-0.013561914,-0.015837998
2003.7.11,0.009462523,0.018792589
2003.7.14,0.005794222,0.01811022
2003.7.15,-0.003492495,-0.002110225
2003.7.16,-0.006417992,0.000726433
2003.7.17,-0.012451444,-0.016136059
2003.7.18,0.011746971,0.011291083
2003.7.21,-0.014705402,-0.024958221
2003.7.22,0.009456576,0.006898049
2003.7.23,0.000505894,-0.005799497
2003.7.24,-0.007105907,0.020660463
2003.7.25,0.01727054,-0.003218038
2003.7.28,-0.002205294,0.016847933
2003.7.29,-0.007251517,0.00309979
2003.7.30,-0.001821126,0.003078489
2003.7.31,0.002831431,0.015926678
2003.8.1,-0.01035332,-0.012403529
2003.8.4,0.002751033,-0.008308244
2003.8.5,-0.017759539,0.007080698
2003.8.6,0.001655801,-0.015237354
2003.8.7,0.007212065,-0.011521391
2003.8.8,0.003586621,-0.002287134
2003.8.11,0.003064041,0.001951249
2003.8.12,0.009944273,0.011635543
2003.8.13,-0.006483005,0.003046806
2003.8.14,0.006583969,0.015931253
2003.8.15,0.002729066,-0.001633426
2003.8.18,0.00904347,0.017154016
2003.8.19,0.00269717,-0.001858721
2003.8.20,-0.00209717,-0.001717919
2003.8.21,0.002994612,0.018130138
2003.8.22,-0.010218482,-0.00400712
2003.8.25,0.000603986,-0.01349673
2003.8.26,0.003014472,-0.012484399
2003.8.27,0.000100326,0.006024288
2003.8.28,0.006001218,0.001805406
2003.8.29,0.005172082,-0.007359681
2003.9.2,0.013793322,-0.000809831
2003.9.3,0.00419861,0.021409122
2003.9.4,0.001655065,0.008142264
2003.9.5,-0.006440932,-0.017644187
2003.9.8,0.00993676,0.007906988
2003.9.9,-0.008176024,-0.014220684
2003.9.10,-0.012093948,-0.014018285
2003.9.11,0.005425949,0.011660583
2003.9.12,0.002162163,-0.015974641
2003.9.15,-0.003737587,0.001146745
2003.9.16,0.014187411,0.011834959
2003.9.17,-0.003211213,-0.003436911
2003.9.18,0.013168277,0.013697966
2003.9.19,-0.003179347,-0.010681288
2003.9.22,-0.013112713,-0.034658729
2003.9.23,0.006043492,-0.014083797
2003.9.24,-0.019231362,-0.031933686
2003.9.25,-0.006061528,0.006251707
2003.9.26,-0.006399382,-0.000273659
2003.9.29,0.00968313,-0.00018654
2003.9.30,-0.010586337,-0.018499639
2003.10.1,0.022044384,0.022495516
2003.10.2,0.001962324,-0.016436039
2003.10.3,0.009365922,0.040474731
2003.10.6,0.004360261,-0.002683691
2003.10.7,0.004726317,-0.015359214
2003.10.8,-0.005209853,0.011144742
2003.10.9,0.004728597,0.025265524
2003.10.10,-0.000577812,-0.002293371
2003.10.13,0.006911806,0.016602172
2003.10.14,0.004009935,-0.001423468
2003.10.15,-0.002575969,0.007965929
2003.10.16,0.003147506,0.002518738
2003.10.17,-0.010337988,-0.017188846
2003.10.20,0.005182353,0.010957938
2003.10.21,0.001243603,0.003562123
2003.10.22,-0.015026289,-0.019948105
2003.10.23,0.003294257,0.002929534
2003.10.24,-0.004751063,-0.012254304
2003.10.27,0.002135923,0.01663702
2003.10.28,0.015111698,0.015438063
