³¯Â¥,S&P 500,CAC
2002.11.14,0.024402375,0.041868844
2002.11.15,0.006063631,-0.004104189
2002.11.18,-0.010385686,0.008460022
2002.11.19,-0.004117751,0.007902681
2002.11.20,0.019218617,-0.012273954
2002.11.21,0.021322308,0.013797551
2002.11.22,-0.003540206,0.004547529
2002.11.25,0.002575938,-0.00605512
2002.11.26,-0.0212336,-0.023400082
2002.11.27,0.027644564,0.034109928
2002.11.29,-0.002773039,-0.003905668
2002.12.2,-0.001924311,-0.010265791
2002.12.3,-0.014768769,-0.025146986
2002.12.4,-0.003481292,0.002189896
2002.12.5,-0.012170536,-0.021944454
2002.12.6,0.006268234,0.003771218
2002.12.9,-0.022393132,-0.030985723
2002.12.10,0.013916172,0.013130693
2002.12.11,0.000552639,0.00567288
2002.12.12,-0.003763981,-0.012610508
2002.12.13,-0.013511456,-0.01420295
2002.12.16,0.023224556,0.02648105
2002.12.17,-0.00816151,-0.019270854
2002.12.18,-0.013265899,-0.011317825
2002.12.19,-0.006538181,-0.013348725
2002.12.20,0.013033892,0.0058613
2002.12.23,0.001896158,-0.005498963
2002.12.24,-0.00547518,0.000975134
2002.12.27,-0.016203402,-0.019155143
2002.12.30,0.004558932,0.006644543
2002.12.31,0.000454752,0.012496052
2003.1.2,0.032650485,0.044551511
2003.1.3,-0.000440141,0.000624805
2003.1.6,0.022203785,-0.000311867
2003.1.7,-0.006587853,-0.021972008
2003.1.8,-0.014186183,-0.014139053
2003.1.9,0.019265902,0.017313674
2003.1.10,0,0.004774798
2003.1.13,-0.001402449,0.004114581
2003.1.14,0.005812718,-0.003464025
2003.1.15,-0.014595643,-0.02274261
2003.1.16,-0.003928421,0.004150046
2003.1.17,-0.014094045,-0.020104438
2003.1.21,-0.015871575,-0.014928126
2003.1.22,-0.01041912,-0.021622464
2003.1.23,0.010081073,-0.015662561
2003.1.24,-0.029624171,-0.009641948
2003.1.27,-0.016268133,-0.027892364
2003.1.28,0.012895841,-0.00639661
2003.1.29,0.006848944,0.019521472
2003.1.30,-0.023172482,0.015584731
2003.1.31,0.013056705,0.028287502
2003.2.3,0.005361318,0.004071943
2003.2.4,-0.014164709,-0.022846269
2003.2.5,-0.005438008,0.013217584
2003.2.6,-0.006541023,-0.007716629
2003.2.7,-0.010073235,-0.014194702
2003.2.10,0.007564423,-0.008988017
2003.2.11,-0.008167233,0.012061161
2003.2.12,-0.012743664,-0.010764367
2003.2.13,-0.001589145,0.003633725
2003.2.14,0.021183386,0.021106131
2003.2.18,0.019335161,0.018949749
2003.2.19,-0.007192155,-0.025939549
2003.2.20,-0.009511426,-0.016628722
