³¯Â¥,S&P 500,KOSPI
2001.6.12,0.001115449,0.002952555
2001.6.13,-0.011371949,0.003687272
2001.6.14,-0.017631982,0.001287998
2001.6.15,-0.004518761,0.015336076
2001.6.18,-0.004952957,-0.01448119
2001.6.19,0.003469644,0.004724483
2001.6.20,0.008621805,-0.012627252
2001.6.21,0.011300474,-0.003670652
2001.6.22,-0.009503381,0.00290868
2001.6.25,-0.005483053,0.001087511
2001.6.26,-0.001478197,-0.015339275
2001.6.27,-0.004695424,-0.004351283
2001.6.28,0.012390919,-0.004089215
2001.6.29,-0.001469028,0.00186688
2001.7.2,0.009995614,0.00623652
2001.7.3,-0.001780512,-0.007309459
2001.7.5,-0.012471124,-0.008955584
2001.7.6,-0.023737524,-0.005704994
2001.7.9,0.006863675,-0.009490536
2001.7.10,-0.014536239,-0.008218907
2001.7.11,-0.001100902,0.01180973
2001.7.12,0.023364962,-0.00276428
2001.7.13,0.006271165,-0.040500333
2001.7.16,-0.01091732,-0.004543975
2001.7.18,-0.005532403,-0.019075771
2001.7.19,0.006026352,0.021503417
2001.7.20,-0.003462779,-0.004731124
2001.7.23,-0.016488008,-0.02037438
2001.7.24,-0.016337605,0.014690956
2001.7.25,0.015917701,0.012124606
2001.7.26,0.010361921,-0.000812187
2001.7.27,0.002407939,0.007922193
2001.7.30,-0.001078704,-0.01589829
2001.7.31,0.005547061,0.012467762
2001.8.1,0.00387294,0.029738281
2001.8.2,0.004021838,0.003654504
2001.8.3,-0.005338602,-0.005803521
2001.8.6,-0.011429642,0.008200453
2001.8.7,0.003243381,0.009436454
2001.8.8,-0.017505368,-0.003756585
2001.8.9,-8.45E-05,-0.008676569
2001.8.10,0.005729709,-0.001259695
2001.8.13,0.000923788,0.006283042
2001.8.14,-0.003868802,0.020922547
2001.8.16,0.003135994,0.016942791
2001.8.17,-0.016811421,-0.003333566
2001.8.20,0.008056956,-0.003151494
2001.8.21,-0.012109909,-0.005418927
2001.8.22,0.006888859,0.025261164
2001.8.23,-0.002749851,-0.014886798
2001.8.24,0.01942967,-0.004661441
2001.8.27,-0.00482214,0.002214151
2001.8.28,-0.015123969,-0.002148564
2001.8.29,-0.011168464,-0.007292616
2001.8.30,-0.017211524,0.014960023
2001.8.31,0.004066124,-0.013972483
2001.9.4,-0.000617692,0.028480267
2001.9.5,-0.00105979,0.002685199
2001.9.6,-0.022609426,0.000325792
2001.9.7,-0.018794459,0.015047431
2001.9.10,0.006151605,0.004987632
2001.9.17,-0.050402447,-0.013876312
2001.9.18,-0.005889469,0.007202167
2001.9.19,-0.016204962,0.005335214
2001.9.20,-0.03159315,-0.005233331
2001.9.21,-0.019177125,0.012227487
2001.9.24,0.038292395,0.017658471
2001.9.25,0.00873108,-0.040390664
2001.9.26,-0.005249356,-0.001183607
2001.9.27,0.011453522,0.010491355
2001.9.28,0.011984293,0.008626158
2001.10.4,-0.002521127,0.003541739
2001.10.5,0.001681458,0.004232726
2001.10.8,0.001978613,-0.002636957
2001.10.9,-0.005755547,0.013067416
2001.10.10,0.024061452,0.000755062
2001.10.11,0.015057207,0.004283409
2001.10.12,0.003027386,-0.018533616
2001.10.15,0.006073452,0.000856414
2001.10.16,0.003468423,0.014435668
2001.10.17,-0.027923268,0.000909005
2001.10.18,-0.005412986,0.003631086
2001.10.19,0.006448319,0.009724427
2001.10.22,0.015161611,-0.006222326
